,id,created_at_existing,updated_at_existing,updated_at_total_existing,updated_at_unit_existing,updated_at_seconds_existing,let_agreed_existing,created_at_new,updated_at_new,updated_at_total_new,updated_at_unit_new,updated_at_seconds_new,let_agreed_new,new_listing,let_agreed_ts,created_at,updated_at,updated_at_total,updated_at_unit
85,1361538,2022-04-19 22:54:48.008594+00:00,2022-04-12 23:54:48.008594,1,weeks,1649804088,False,2022-04-20 07:17:34.556566+00:00,2022-04-13 08:17:34.556566,1,weeks,1649834254,False,False,True,2022-04-19 22:54:48.008594+00:00,2022-04-13 08:17:34.556566,1,weeks
86,1363100,2022-04-19 22:54:48.004603+00:00,2022-04-12 23:54:48.005600,1,weeks,1649804088,False,2022-04-20 07:17:34.508736+00:00,2022-04-13 08:17:34.509733,1,weeks,1649834254,False,False,True,2022-04-19 22:54:48.004603+00:00,2022-04-13 08:17:34.509733,1,weeks
87,1366090,2022-04-19 22:54:47.984699+00:00,2022-04-12 23:54:47.984699,1,weeks,1649804087,False,2022-04-20 07:17:34.528683+00:00,2022-04-13 08:17:34.529680,1,weeks,1649834254,False,False,True,2022-04-19 22:54:47.984699+00:00,2022-04-13 08:17:34.529680,1,weeks
88,1151691,2022-04-19 22:54:47.964752+00:00,2022-04-12 23:54:47.964752,1,weeks,1649804087,False,,,1,weeks,1649804087,,False,,2022-04-19 22:54:47.964752+00:00,2022-04-12 23:54:47.964752,1,weeks
89,1363816,2022-04-19 22:54:47.961719+00:00,2022-04-12 23:54:47.961719,1,weeks,1649804087,False,,,1,weeks,1649804087,,False,,2022-04-19 22:54:47.961719+00:00,2022-04-12 23:54:47.961719,1,weeks
90,1363862,2022-04-19 22:54:47.956768+00:00,2022-04-12 23:54:47.956768,1,weeks,1649804087,False,,,1,weeks,1649804087,,False,,2022-04-19 22:54:47.956768+00:00,2022-04-12 23:54:47.956768,1,weeks
91,1362888,2022-04-19 22:54:47.937819+00:00,2022-04-12 23:54:47.938816,1,weeks,1649804087,False,,,1,weeks,1649804087,,False,,2022-04-19 22:54:47.937819+00:00,2022-04-12 23:54:47.938816,1,weeks
92,808711,2022-04-19 22:54:47.918833+00:00,2022-04-12 23:54:47.919829,1,weeks,1649804087,False,,,1,weeks,1649804087,,False,,2022-04-19 22:54:47.918833+00:00,2022-04-12 23:54:47.919829,1,weeks
93,1358675,2022-04-19 22:54:47.911888+00:00,2022-04-12 23:54:47.911888,1,weeks,1649804087,False,,,1,weeks,1649804087,,False,,2022-04-19 22:54:47.911888+00:00,2022-04-12 23:54:47.911888,1,weeks
94,1365785,2022-04-19 22:54:47.890943+00:00,2022-04-12 23:54:47.891941,1,weeks,1649804087,False,2022-04-20 07:17:34.665404+00:00,2022-04-13 08:17:34.666397,1,weeks,1649834254,False,False,True,2022-04-19 22:54:47.890943+00:00,2022-04-13 08:17:34.666397,1,weeks
95,1364168,2022-04-19 22:54:47.885956+00:00,2022-04-12 23:54:47.885956,1,weeks,1649804087,False,2022-04-20 07:17:34.686304+00:00,2022-04-13 08:17:34.686304,1,weeks,1649834254,False,False,True,2022-04-19 22:54:47.885956+00:00,2022-04-13 08:17:34.686304,1,weeks
96,1358222,2022-04-19 22:54:48.025584+00:00,2022-04-05 23:54:48.025584,2,weeks,1649199288,False,,,2,weeks,1649199288,,False,,2022-04-19 22:54:48.025584+00:00,2022-04-05 23:54:48.025584,2,weeks
97,1340924,2022-04-19 22:54:48.018568+00:00,2022-04-05 23:54:48.019565,2,weeks,1649199288,False,,,2,weeks,1649199288,,False,,2022-04-19 22:54:48.018568+00:00,2022-04-05 23:54:48.019565,2,weeks
